words,topic,score
google-cloud-datastore,Python Version 3,0.0
google-app-engine,Python Version 3,0.0
function,Python Version 3,0.025083676413062878
for-loop,Python Version 3,0.0
django-views,Python Version 3,0.0
django-templates,Python Version 3,0.0
django-rest-framework,Python Version 3,0.0
django-models,Python Version 3,0.0
django-forms,Python Version 3,0.0
django-admin,Python Version 3,0.0
django,Python Version 3,0.22558364080179172
dictionary,Python Version 3,0.06338822415127081
deep-learning,Python Version 3,0.0
datetime,Python Version 3,0.0
dataframe,Python Version 3,0.0
csv,Python Version 3,0.0
conv-neural-network,Python Version 3,0.0
c++,Python Version 3,0.0
arrays,Python Version 3,0.0
algorithm,Python Version 3,0.0
wxpython,Data Transformation,0.0
windows,Data Transformation,0.0
user-interface,Data Transformation,0.0
unicode,Data Transformation,0.0
tuples,Data Transformation,0.0
tkinter,Data Transformation,0.0
tensorflow2.0,Data Transformation,0.0
tensorflow,Data Transformation,0.0
subprocess,Data Transformation,0.0
string,Data Transformation,0.0
sorting,Data Transformation,0.0
scipy,Data Transformation,0.07473585714438531
scikit-learn,Data Transformation,0.0
regex,Data Transformation,0.0
python-3.x,Data Transformation,0.19473251340933018
python-2.7,Data Transformation,0.06684012955588638
python,Data Transformation,0.0
plot,Data Transformation,0.033232064209337796
performance,Data Transformation,0.0
parsing,Data Transformation,0.0
pandas-groupby,Data Transformation,0.041292071946749095
pandas,Data Transformation,0.7905037240335963
opencv,Data Transformation,0.0
numpy,Data Transformation,0.20065237779393708
neural-network,Data Transformation,0.0
mysql,Data Transformation,0.0
multithreading,Data Transformation,0.0
matrix,Data Transformation,0.02757194302097179
matplotlib,Data Transformation,0.08011873120087107
macos,Data Transformation,0.0
machine-learning,Data Transformation,0.0
lstm,Data Transformation,0.0
loops,Data Transformation,0.0
list,Data Transformation,0.0
linux,Data Transformation,0.0
keras,Data Transformation,0.0
jinja2,Data Transformation,0.0
html,Data Transformation,0.0
google-cloud-datastore,Data Transformation,0.0
google-app-engine,Data Transformation,0.0
function,Data Transformation,0.0
for-loop,Data Transformation,0.0
django-views,Data Transformation,0.0
django-templates,Data Transformation,0.0
django-rest-framework,Data Transformation,0.0
django-models,Data Transformation,0.0
django-forms,Data Transformation,0.0
django-admin,Data Transformation,0.0
django,Data Transformation,0.07179091802453533
dictionary,Data Transformation,0.0
deep-learning,Data Transformation,0.0
datetime,Data Transformation,0.026969929169746765
dataframe,Data Transformation,0.2305628935286246
csv,Data Transformation,0.04284872415416192
conv-neural-network,Data Transformation,0.0
c++,Data Transformation,0.0
arrays,Data Transformation,0.08947131904817705
algorithm,Data Transformation,0.0
wxpython,Deep Learning,0.0
windows,Deep Learning,0.0
user-interface,Deep Learning,0.0
unicode,Deep Learning,0.0
tuples,Deep Learning,0.0
tkinter,Deep Learning,0.0
tensorflow2.0,Deep Learning,0.03252221136119216
tensorflow,Deep Learning,0.8086643873114381
subprocess,Deep Learning,0.0
string,Deep Learning,0.0
sorting,Deep Learning,0.0
scipy,Deep Learning,0.0
scikit-learn,Deep Learning,0.03780538635962299
regex,Deep Learning,0.0
python-3.x,Deep Learning,0.0
python-2.7,Deep Learning,0.0
python,Deep Learning,0.0
plot,Deep Learning,0.0
performance,Deep Learning,0.0
parsing,Deep Learning,0.0
pandas-groupby,Deep Learning,0.0
pandas,Deep Learning,0.0
opencv,Deep Learning,0.0
numpy,Deep Learning,0.0
neural-network,Deep Learning,0.08921787706355186
mysql,Deep Learning,0.0
multithreading,Deep Learning,0.0
matrix,Deep Learning,0.0
matplotlib,Deep Learning,0.0
macos,Deep Learning,0.0
machine-learning,Deep Learning,0.18315197255908527
lstm,Deep Learning,0.047190486831586595
loops,Deep Learning,0.0
list,Deep Learning,0.0
linux,Deep Learning,0.0
keras,Deep Learning,0.44220500641124355
jinja2,Deep Learning,0.0
html,Deep Learning,0.0
google-cloud-datastore,Deep Learning,0.0
google-app-engine,Deep Learning,0.0
function,Deep Learning,0.0
for-loop,Deep Learning,0.0
django-views,Deep Learning,0.0
django-templates,Deep Learning,0.0
django-rest-framework,Deep Learning,0.0
django-models,Deep Learning,0.0
django-forms,Deep Learning,0.0
django-admin,Deep Learning,0.0
django,Deep Learning,0.050104497200781035
dictionary,Deep Learning,0.0
deep-learning,Deep Learning,0.14944177358143812
datetime,Deep Learning,0.0
dataframe,Deep Learning,0.04632935645959278
csv,Deep Learning,0.0
conv-neural-network,Deep Learning,0.05250650791479771
c++,Deep Learning,0.0
arrays,Deep Learning,0.0
algorithm,Deep Learning,0.0
wxpython,Machine Learning,0.0
windows,Machine Learning,0.0
user-interface,Machine Learning,0.0
unicode,Machine Learning,0.0
tuples,Machine Learning,0.0
tkinter,Machine Learning,0.0
tensorflow2.0,Machine Learning,0.0
tensorflow,Machine Learning,0.23383672826400823
subprocess,Machine Learning,0.0
string,Machine Learning,0.0
sorting,Machine Learning,0.0
scipy,Machine Learning,0.05715644852225733
scikit-learn,Machine Learning,0.0
regex,Machine Learning,0.0
python-3.x,Machine Learning,0.0
python-2.7,Machine Learning,0.0
python,Machine Learning,0.0
plot,Machine Learning,0.0
performance,Machine Learning,0.0
parsing,Machine Learning,0.0
pandas-groupby,Machine Learning,0.0
pandas,Machine Learning,0.0
opencv,Machine Learning,0.04413863155154445
numpy,Machine Learning,0.9105799158252526
neural-network,Machine Learning,0.0
mysql,Machine Learning,0.0
multithreading,Machine Learning,0.0
matrix,Machine Learning,0.0
matplotlib,Machine Learning,0.11851924930003034
macos,Machine Learning,0.0
machine-learning,Machine Learning,0.06050354043625564
lstm,Machine Learning,0.0
loops,Machine Learning,0.0
list,Machine Learning,0.0
linux,Machine Learning,0.0
keras,Machine Learning,0.15399737416248854
jinja2,Machine Learning,0.0
html,Machine Learning,0.0
google-cloud-datastore,Machine Learning,0.0
google-app-engine,Machine Learning,0.0
function,Machine Learning,0.0
for-loop,Machine Learning,0.0
django-views,Machine Learning,0.0
django-templates,Machine Learning,0.0
django-rest-framework,Machine Learning,0.0
django-models,Machine Learning,0.0
django-forms,Machine Learning,0.0
django-admin,Machine Learning,0.0
django,Machine Learning,0.11172197995259953
dictionary,Machine Learning,0.0
deep-learning,Machine Learning,0.046550707834350724
datetime,Machine Learning,0.0
dataframe,Machine Learning,0.0
csv,Machine Learning,0.0
conv-neural-network,Machine Learning,0.0
c++,Machine Learning,0.0
arrays,Machine Learning,0.16907906792251923
algorithm,Machine Learning,0.0
